                                                                             
                                                                             
                                                                             
                   Ladder Type / Module    N-side P-side  Sensor size [mm]   Average [cm]  
                         L1159 M01         426.3  417.0                    42          42.2 
                         L1159 M02         389.4  380.0                    62          38.5 
                         L1159 M03         290.7  281.3                   124          28.6 
                         L1159 M04         191.8  182.5                   124          18.7 
                                                                             
                         L0060 M00         440.6  431.3                    42          43.6 
                         L0060 M01         341.8  332.5                   124          33.7 
                         L0060 M02         242.8  233.5                   124          23.8 
                         L0060 M03         143.6  134.4                   124          13.9 
                                                                             
                         L1060 M00         440.6  431.3                    42          43.6 
                         L1060 M01         341.8  332.5                   124          33.7 
                         L1060 M02         242.8  233.5                   124          23.8 
                         L1060 M03         143.6  134.4                   124          13.9 
                                                                             
                          L28 M00          364.8  355.4                    22          36.0 
                          L28 M01          368.1  358.7                    22          36.3 
                          L28 M02          351.3  341.9                    42          34.7 
                          L28 M03          314.4  305.0                    62          31.0 
                          L28 M04          277.7  268.3                    62          27.3 
                                                                             
                          L29 M00          364.8  355.4                    22          36.0 
                          L29 M01          368.1  358.7                    22          36.3 
                          L29 M02          351.3  341.9                    42          34.7 
                          L29 M03          334.5  325.2                    42          33.0 
                          L29 M04          297.7  288.3                    62          29.3 
                                                                             
                          L30 M00          344.7  335.3                    42          34.0 
                          L30 M01          328.0  318.6                    42          32.3 
                                                                             
                          L31 M00          423.7  414.3                    42          41.9 
                          L31 M01          407.0  397.6                    42          40.2 
                          L31 M02          390.3  380.9                    42          38.6 
                          L31 M03          353.4  344.0                    62          34.9 
                          L31 M04          254.8  245.4                   124          25.0 
                                                                             
                          L32 M00          423.7  414.3                    42          41.9 
                          L32 M01          407.0  397.6                    42          40.2 
                          L32 M02          370.1  360.7                    62          36.5 
                          L32 M03          271.5  262.1                   124          26.7 
                                                                             
                          L33 M00          423.7  414.3                    42          41.9 
                          L33 M01          386.8  377.4                    62          38.2 
                          L33 M02          288.2  278.9                   124          28.4 
                                                                             
                          L34 M00          403.6  394.2                    62          39.9 
                          L34 M01          366.9  357.5                    62          36.2 
                                                                             
                          L35 M00          463.7  454.3                    42          45.9 
                          L35 M01          447.0  437.6                    42          44.2 
                          L35 M02          410.1  400.7                    62          40.5 
                          L35 M03          311.5  302.1                   124          30.7 
                          L35 M04          212.6  203.2                   124          20.8 
                                                                             
                          L36 M00          463.7  454.3                    42          45.9 
                          L36 M01          426.8  417.5                    62          42.2 
                          L36 M02          328.2  318.9                   124          32.4 
                          L36 M03          229.4  220.0                   124          22.5 
                                                                             
                          L37 M00          443.6  434.2                    62          43.9 
                          L37 M01          344.9  335.6                   124          34.0 
                          L37 M02          246.1  236.7                   124          24.1 
                                                                             
                          L38 M00          381.7  372.3                   124          37.7 
                          L38 M01          282.9  273.5                   124          27.8 
                                                                             
                          L39 M00          514.0  504.7                    22          50.9 
                          L39 M01          497.1  487.8                    42          49.2 
                          L39 M02          398.3  389.0                   124          39.4 
                          L39 M03          299.5  290.1                   124          29.5 
                          L39 M04          200.6  191.2                   124          19.6 
                                                                             
                          L40 M00          473.8  464.5                    62          46.9 
                          L40 M01          375.1  365.7                   124          37.0 
                          L40 M02          276.1  266.8                   124          27.1 
                                                                             
                          L41 M00          411.9  402.6                   124          40.7 
